Part Name,Quantity,Link
Orpheus Pico (RPI Pico),1,https://www.amazon.com/Raspberry-Pi-Pico/dp/B09KVB8LVR?sr=8-1
"1.8"" TFT Display",1,https://www.amazon.com/Display-Module-ST7735-128x160-STM32/dp/B07BFV69DZ
Neopixel,5,https://www.adafruit.com/product/2828?gQT=2
3M Double Sided Tape,1,https://www.amazon.com/%C3%9732-8Ft-Adhesive-Translucent-Removable-Nameplate/dp/B0CQTDJ82F?source=ps-sl-shoppingads-lpcontext&smid=ADO5J2C0Z0DFT&gPromoCode=sns_us_en_5_2025Q1&gQT=1
Vertical Headband,1,https://github.com/crkalapat/underscouter/tree/main/cad
Horizontal Headband,1,https://github.com/crkalapat/underscouter/tree/main/cad
Arm,1,https://github.com/crkalapat/underscouter/tree/main/cad
Screen Cover,1,https://github.com/crkalapat/underscouter/tree/main/cad
Base,1,https://github.com/crkalapat/underscouter/tree/main/cad
Jumper Wires,30+,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78
